title,published,deadline,source,location,region,ville,experience,salary,work_mode,apply_email,apply_url,summary
Keda Cameroon Ceramics Ltd recrute un(e) Magasinier,2026-07-13T00:00:00+01:00,2026-07-17,jobincamer,"Ebolowa, Cameroun",Sud,Ebolowa,Débutant (moins de 2 ans d'expérience),,,mailto:cmhr-recrutement@twyfordtile.com,,"Keda Cameroon Ceramics Ltd recrute un(e) Magasinier Missions principales • Procéder à l'identification et au marquage des articles • Assurer le contrôle, la réception et l'expédition des produits, et mettre à jour les informations de chaque fiche de stock (quantités et références) • Éditer les bons "
Keda Cameroon Ceramics Ltd recrute un(e) Superviseur des ventes,2026-07-13T00:00:00+01:00,2026-07-17,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:cmhr-recrutement@twyfordtile.com,,"Keda Cameroon Ceramics Ltd recrute un(e) Superviseur des ventes Superviseur des Ventes et des Produits Missions principales: • Accroître le chiffre d'affaires auprès des revendeurs, des grossistes et des clients du secteur industriel • Assurer le pilotage du développement des nouvelles gammes, depui"
AREKO Group recherche des Commerciaux B2B et un Chauffeur camion,2026-07-13T00:00:00+01:00,2026-07-18,jobincamer,"Yaoundé, Cameroun",Centre,Yaoundé,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement.cameroun@arekogroup.com,,"AREKO Group recherche des Commerciaux B2B et un Chauffeur camion AURE RH Recruitment Services Sarl, filiale du Groupe AREKO , recrute pour les postes suivants: Commerciaux B2B • Prospecter activement les entreprises et organisations sur le marché interentreprises afin de développer le portefeuille c"
AREKO Group recrute un(e) Assistant Communication et un(e) Responsable Logistique et Transit,2026-07-13T00:00:00+01:00,2026-07-19,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement.cameroun@arekogroup.com,,"AREKO Group recrute un(e) Assistant Communication et un(e) Responsable Logistique et Transit AURE RH Recruitment Services Sarl, entité du Groupe AREKO , procède au recrutement des profils ci-après: Responsable Logistique et Transit • Planifier, organiser et superviser l'ensemble des opérations logis"
AREKO Group recrute un(e) Soudeur et un(e) Chaudronnier,2026-07-13T00:00:00+01:00,2026-07-17,jobincamer,"Douala, Cameroun",Littoral,Douala,Débutant (moins de 2 ans d'expérience),,,mailto:recrutement.cameroun@arekogroup.com,,"AREKO Group recrute un(e) Soudeur et un(e) Chaudronnier AURE RH Recruitment Services Sarl , filiale du Groupe AREKO, recherche les candidats suivants: Soudeur (1) • Réaliser des opérations de soudage sur différents types de métaux (acier, inox, aluminium) en utilisant les procédés appropriés (MIG/MA"
Recrutement IFC - World Bank Group juillet 2026 : Responsable de Programme,2026-07-10T17:19:46.245000+01:00,2026-07-22,cameroondesks,,Littoral,Douala,,,,,https://worldbankgroup.csod.com/ux/ats/careersite/1/home/requisition/37479?c=worldbankgroup&source=LinkedIn,"Responsable de programme, Cameroun Emplacement: Douala, Cameroun Date limite : 22/07/2026 (JJ/MM/AAAA) à 23h59 UTC Description IFC, membre du Groupe de la Banque mondiale, est la plus importante institution de développement mondiale axée sur le secteur privé dans les marchés émergents. Présente dans"
Recrutements MASSIF au Fonds national de l’emploi (FNE) juillet 2026,2026-07-10T17:01:12.405000+01:00,2026-07-17,cameroondesks,,,,Débutant(e)s accepté(e)s,,,,https://www.google.com/search?q=https://forms.gle/g1m90c8oR83AchQS9,"FONDS NATIONAL DE L'EMPLOI URGENT : Le FNE recrute 25 Agents Polyvalents (H/F) Le Fonds National de l'Emploi (FNE) – Agence régionale du Littoral recherche, pour le compte d'une société internationale basée à Douala et exerçant dans le secteur bancaire, des profils répondant aux critères suivants : "
Offres d'emploi Ecobank Cameroun juillet 2026 : plusieurs postes ouverts,2026-07-10T12:21:26+01:00,,cameroondesks,Basé à Douala (avec une disponibilité à travailler sur l'ensemble du territoire national),Littoral,Douala,8 à 10 ans d'expérience minimum dans un rôle de distribution de produits de grande consommation (FMC,,,mailto:ECM-Recruit@ecobank.com,https://drive.google.com/file/d/1ocw2W9sflcA70sDg18lmXGFgw0uM-9rk/view?usp=sharing; https://drive.google.com/file/d/1a1cXdnVyd7LEgXAvYc-8UIej8xXnSVcK/view?usp=sharing; https://drive.google.com/file/d/1Yo0JHomYwIw0PZRrpzWvSV2HvIhj2f3a/view?usp=sharing; https://drive.google.com/file/d/1CrxLggeY8c10F3XrxXJPi5iEg57f5WMT/view?usp=sharing; https://drive.google.com/file/d/1nlv4TT6P-WW39TaK_pN7SNSpWM7pEOaz/view?usp=sharing,1. Value Chain & Agri Business Manager TELECHARGEZ LE PDF Entreprise : Ecobank Cameroun S.A. Lieu de travail : Basé à Douala (avec une disponibilité à travailler sur l'ensemble du territoire national). Niveau / Grade du poste : Niveau 7 | Grade 4C. Rattachement hiérarchique : Rattaché localement au 
Recrutement DHL Cameroun juillet 2026 : Senior Field Sales,2026-07-10T12:07:59.444000+01:00,,cameroondesks,,Littoral,Douala,,,,,https://www.logistics.dhl/us-en/home/careers.html; https://careers.dhl.com/global/en/job/DPDHGLOBALAV362209ENGLOBALEXTERNAL/Senior-Field-Sales?utm_source=01LinkedIn&utm_medium=phenom-feeds&utm_campaign=02DHL_Profile_LI,Would you like to be part of the most international company in the world? A company operating in more than 220 countries worldwide and has been pioneering cross-border express shipping since 1969. Would you like to be part of a business that connects people across the globe and want to make a differ
Recrutement à la multinationale MAERSK juillet 2026 : CFS supervisor,2026-07-10T11:44:31.733000+01:00,,cameroondesks,,Littoral,Douala,"Proven experience in warehouse/logistics operations (including CFS), with team leadership and knowle",,,mailto:accommodationrequests@maersk.com,https://maersk.wd3.myworkdayjobs.com/fr-FR/Maersk_Careers/job/Cameroon-Douala/CFS-supervisor_R187481?source=LinkedIn,"Date de fin : 19 juillet 2026 At Maersk , we value honesty, integrity, and teamwork. Our people are at the heart of everything we do, enabling us to build strong relationships with customers and deliver world-class logistics solutions. We are currently looking for a CFS Supervisor to join our Depot "
Recrutement Kiro'o Games juillet 2026 : 06 Postes à Pourvoir,2026-07-10T09:01:17.423000+01:00,2026-07-31,cameroondesks,,,,,"Évolutif selon le profil, compris entre 100 000 FCFA et 300 000 FCFA par mois, accompagné des avanta",,mailto:recrutement@kiroogames.com,https://kirooworld.com/recrutement,"Kiro'o Games recherche ses futurs talents à Yaoundé ! Kiro'o Games, premier studio de jeux vidéo de référence au Cameroun et reconnu à l'international, renforce ses équipes. Si vous êtes passionné par l'univers du gaming, de la pop culture et de la création, c'est le moment idéal pour propulser votr"
Africa Global Logistics (AGL) recrute un(e) Conducteur d'Engins,2026-07-10T00:00:00+01:00,2026-07-31,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,,https://acareerbyagl.talent-soft.com/offre-de-emploi/liste-offres.aspx,"Africa Global Logistics (AGL) recrute un(e) Conducteur d'Engins Votre Mission • Conduire la machine jusqu'à la fin du poste de travail, ou conformément aux directives données par le superviseur du Yard/Terminal • Vérifier que l'équipement demeure en parfait état de marche pour les opérations, et ave"
Africa Global Logistics (AGL) recrute un(e) Agent Pointeur Reefer,2026-07-10T00:00:00+01:00,2026-07-31,jobincamer,"Ebolowa, Cameroun",Sud,Ebolowa,Milieu de carrière (2+ ans d'expérience),,,,https://acareerbyagl.talent-soft.com/offre-de-emploi/liste-offres.aspx,"Africa Global Logistics (AGL) recrute un(e) Agent Pointeur Reefer Votre Mission • Relever, inspecter et suivre au quotidien les indicateurs de fonctionnement des Reefers du parc • Garantir la conformité technique de l'ensemble du parc Reefer, signaler toute déviation et coordonner avec la direction "
Africa Global Logistics (AGL) recrute un(e) Key Account Manager,2026-07-10T00:00:00+01:00,2026-07-31,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,,https://acareerbyagl.talent-soft.com/offre-de-emploi/liste-offres.aspx,"Africa Global Logistics (AGL) recrute un(e) Key Account Manager Vos missions: • Agir en tant qu'interlocuteur privilégié, promouvoir et défendre les intérêts d'AGL auprès du Client, tout en veillant à sa pleine satisfaction et à sa fidélisation • Vérifier, en coordination avec les divers services in"
Africa Global Logistics (AGL) recrute un(e) Développeur Full Stack,2026-07-10T00:00:00+01:00,2026-07-31,jobincamer,"Douala, Cameroun",Littoral,Douala,Senior (5+ ans d'expérience),,,,https://acareerbyagl.talent-soft.com/offre-de-emploi/liste-offres.aspx,"Africa Global Logistics (AGL) recrute un(e) Développeur Full Stack Développeur Full Stack - Portail Agent & Administrateur H/F - AGL AFRICA GLOBAL LOGISTICS Cameroun Description de la mission Développement & architecture • Concevoir, réaliser et assurer la maintenance des fonctionnalités du portail "
Ets Eco-Produits recrute un(e) Chauffeur,2026-07-10T00:00:00+01:00,2026-07-20,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:Rh@eco-produits.com,,"Ets Eco-Produits recrute un(e) Chauffeur Chauffeur Polyvalent (Direction, Livraisons et Logistique) Direction / Département: Direction Générale / Moyens Généraux Supérieur hiérarchique: Directeur Général / Responsable Logistique Mission principale Sous la supervision directe de la Direction Générale"
Ets Eco-Produits recrute un(e) Responsable des Services Généraux,2026-07-10T00:00:00+01:00,2026-07-20,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:Rh@eco-produits.com,,"Ets Eco-Produits recrute un(e) Responsable des Services Généraux Rattachement hiérarchique: Direction Générale Mission principale Garantir la gestion, la coordination et le bon fonctionnement des services de soutien de l’entreprise, incluant le secrétariat, la logistique, les moyens généraux et les "
Recrutement Express Union juillet 2026 : 05 Postes à Pourvoir,2026-07-09T17:13:28.561000+01:00,,cameroondesks,,,,Minimum 03 ans à un poste similaire,,,mailto:rh.cmr@expressunion.net,,"Dans le cadre du renforcement de ses performances opérationnelles et administratives, Express Union lance un appel à candidatures pour le recrutement de cinq (05) profils qualifiés. Ces opportunités s'adressent à des professionnels souhaitant évoluer dans un environnement dynamique et contribuer au "
Recrutement Twyford Tiles Cameroon (Keda Ceramics) juillet 2026 : plusieurs profils,2026-07-09T16:59:51.079000+01:00,,cameroondesks,Douala,Littoral,Douala,Au moins 2 ans d'expérience dans la vente B2B ou B2B2C,,,mailto:cmhr-recrutement@twyfordtile.com,,"La marque de référence TWYFORD TILES CAMEROON (propulsée par la société KEDA CAMEROON CERAMICS LTD), leader incontournable dans la production et la distribution de carreaux de haute qualité au Cameroun, renforce ses équipes. Dans le cadre de l'expansion de ses activités industrielles et commerciales"
SCC Cameroun recrutement juillet 2026 : plusieurs profils en CDI,2026-07-09T16:20:53.355000+01:00,2026-07-17,cameroondesks,Douala,Littoral,Douala,01 an minimum,,,mailto:recrutement.rh@scc-cameroun.com,,"03 Opportunités de Carrière à Pourvoir (CDI) La Société des Céréales du Cameroun (SCC), fidèle à sa mission de « Nourrir la nation, notre ambition », lance un important appel à candidatures pour le renforcement de ses équipes techniques et commerciales. Trois (03) postes en Contrat à Durée Indétermi"
ALNY HR Consulting recherche un(e) Chef Comptable,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Senior (5+ ans d'expérience),,,mailto:ahcmng@alnyconsulting.com,,"ALNY HR Consulting recherche un(e) Chef Comptable ALNY HR Consulting Sarl , cabinet spécialisé en recrutement, mise à disposition du personnel, travail temporaire, conseil RH et externalisation de la gestion des ressources humaines, recrute pour le compte de l'un de ses clients un(e) Chef Comptable "
ASKY Airlines recrute des Hôtesses de l’air et Stewards,2026-07-09T00:00:00+01:00,2026-07-18,jobincamer,"Tout le Cameroun, Cameroun",,,Milieu de carrière (2+ ans d'expérience),,,mailto:askyrecrutement@flyasky.com,,ASKY Airlines recrute des Hôtesses de l’air et Stewards Qualifications Conditions minimales d'éligibilité – Personnel Navigant Commercial (Cabin Crew) Les postulants doivent remplir les conditions suivantes: • Niveau d'études: Être détenteur d'une Licence ou du Baccalauréat (ou diplôme reconnu équiv
SOREPCO S.A. recrute un(e) Agent de Saisie des Bons,2026-07-09T00:00:00+01:00,2026-07-18,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,,https://recrutement.sorepco-sa.com/,"SOREPCO S.A. recrute un(e) Agent de Saisie des Bons Directeur Usine de Fabrication Carreaux Mission principale: Concevoir, implanter, lancer, exploiter et perfectionner l'usine de production de carreaux, en veillant à la performance industrielle, à la qualité des produits, à la rentabilité, à la pro"
La Beetle Heritage Holding recrute un(e) Opérateur d'Emballage,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement@africafoodmanufacture.com,,"La Beetle Heritage Holding recrute un(e) Opérateur d'Emballage Dans le cadre du lancement de notre nouvelle usine de production, nous recrutons (02) Opérateurs d'Emballage . Mission: Conditionner les produits finis dans des cartons conformément aux spécifications et préparer leur transfert vers l'en"
La Beetle Heritage Holding recrute un(e) Opérateur de Remplissage,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement@africafoodmanufacture.com,,"La Beetle Heritage Holding recrute un(e) Opérateur de Remplissage Dans le cadre du lancement de notre nouvelle usine de production, nous recrutons (02) Opérateur de Remplissage expérimentés . Mission: Piloter les équipements de conditionnement pour assurer le remplissage précis de la mayonnaise dans"
La Beetle Heritage Holding recrute un(e) Opérateur FRYMA,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement@africafoodmanufacture.com,,"La Beetle Heritage Holding recrute un(e) Opérateur FRYMA Dans le cadre du lancement de notre nouvelle usine de production, nous recrutons (02) Opérateurs FRYMA Expérimentés . Mission: Garantir le bon fonctionnement de l'émulsificateur/mélangeur à haut cisaillement Fryma pour obtenir une émulsion de "
La Beetle Heritage Holding recrute un(e) Assistants Opérateur FRYMA,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Non spécifié,,,,,La Beetle Heritage Holding recrute un(e) Assistants Opérateur FRYMA
La Beetle Heritage Holding recrute un(e) Opérateurs de Préparation des Lots,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement@africafoodmanufacture.com,,"La Beetle Heritage Holding recrute un(e) Opérateurs de Préparation des Lots Dans le cadre du lancement de notre nouvelle usine de production, nous recrutons des (02) Opérateurs de Préparation des Lots . Mission: Effectuer le pesage précis, la préparation et la mise à disposition des matières premièr"
La Beetle Heritage Holding recrute un(e) Coordinateur de Production,2026-07-09T00:00:00+01:00,2026-07-15,jobincamer,"Douala, Cameroun",Littoral,Douala,Milieu de carrière (2+ ans d'expérience),,,mailto:recrutement@africafoodmanufacture.com,,"La Beetle Heritage Holding recrute un(e) Coordinateur de Production Dans le cadre du lancement de notre nouvelle usine de production, nous recrutons un(e) Coordinateur de Production (H/F). Mission: Assurer la coordination des opérations journalières de production entre les diverses équipes, les atel"
Recrutement AGL Cameroun : Key Account Manager H/F,2026-07-08T11:57:22.052000+01:00,,cameroondesks,,,,,,,,https://acareerbyagl.talent-soft.com/offre-de-emploi/emploi-key-account-manager-h-f_10079.aspx?fbclid=IwY2xjawS6_s5leHRuA2FlbQIxMABicmlkETFrQUpJRExSczVWSVRUN3c2c3J0YwZhcHBfaWQQMjIyMDM5MTc4ODIwMDg5MgABHuWHSyMLliGyXeEH_id6nfL2EHRLqUAPm39Pu7tZFZYR9Ywg2EFbqw_OL4eM_aem_CxcSwyG3PZ_0CX8jlKRw4g,"KEY ACCOUNT MANAGER H/F Localisation du poste Afrique, Cameroun, Description de la mission Vos missions : • Être le représentant principal, défendre et valoriser les intérêts de AGL auprès du Client, tout en assurant sa satisfaction et sa fidélité • S'assurer auprès des différents services internes "
