title,published,deadline,source,category,location,region,ville,apply_email,apply_url,summary
Bourse D'excellence Internationale Du Président De L'Université York 2026/2027,2026-06-24T19:00:00+01:00,,cameroondesks,bourse,,,,,https://futurestudents.yorku.ca/scholarships-incoming-students; https://futurestudents.yorku.ca/financialsupport,Bourse D'excellence Internationale Du Président De L'Université York 2026/2027 Pour Étudiants Internationaux - Canada Bourse d'excellence internationale du président de l'Université York : L'Université York offre des bourses d'études complètes aux étudiants internationaux exceptionnels souhaitant en
Report concours IAI 2026 session de Juin,2026-06-24T16:59:41.302000+01:00,2026-07-08,cameroondesks,concours,,,,,https://drive.google.com/file/d/17E4YMAOoaGuH3fqFRaY5VcWu-lXfNZvr/view?usp=sharing,Concours d'entrée en 1ère année à l'Institut Africain d'Informatique (IAI-Cameroun ) pour l'année académique 2026-2027&nbsp; Date du concours : Le samedi 11 juillet 2026 à 7h30. Date Limite : 08 Juillet 2026 à 12H (adsbygoogle = window.adsbygoogle || []).push({}); Options proposées : Systèmes et rés
Bourses de doctorat (PhD) en Suède 2026-2027 : la vérité que personne ne te dit (et pourquoi c'est une excellente nouvelle),2026-06-23T10:02:08.477000+01:00,,cameroondesks,bourse,,,,,https://studyinsweden.se/plan-your-studies/degree-programmes/phd-programmes/; https://www.saco.fackorg.uu.se/w/sa/en/laws-and-agreements/salary-agreement-doctoral-students; https://www.migrationsverket.se/en/you-want-to-apply/study/doctoral-studies.html; https://www.migrationsverket.se/en/you-want-to-apply/work/researcher-or-doctoral-student.html; https://si.se/en/apply/scholarships/; https://www.universityadmissions.se/; https://www.vr.se/english.html; https://formas.se/en/start-page.html; https://forte.se/en/; https://www.vinnova.se/en/,"Le grand malentendu : en Suède, le doctorant est un salarié Tu rêves d'un doctorat en Europe, entièrement financé, dans un pays parmi les plus avancés au monde pour la recherche ? La Suède est sans doute la destination la plus mal comprise — et c'est précisément ce malentendu qui peut jouer en ta fa"
"Concours ESSUT Bertoua 2026 : 120 places (Tourisme, Hôtellerie, Restauration)",2026-06-23T07:33:34+01:00,2026-10-05,infospratiques,concours,,,,,,"L&rsquo;École Supérieure des Sciences de l&rsquo;Hôtellerie et du Tourisme (ESSUT) de l&rsquo;Université de Bertoua, à Abong-Mbang, recrute 120 élèves en 1re année du cycle de Licence Professionnelle au titre de 2026-2027. La décision du MINESUP a été signée le 3 juin 2026. Dépôt des dossiers jusqu&"
Concours ESSEC Douala 2026 : 300 places (Études Professionnelles Approfondies),2026-06-23T07:32:38+01:00,2026-08-25,infospratiques,concours,,,,,,"L&rsquo;ESSEC de l&rsquo;Université de Douala (Advanced School of Economics and Business, ASEB) recrute 300 étudiants en 1re année du programme d&rsquo;Études Professionnelles Approfondies (Advanced Professional Studies) au titre de 2026-2027. La décision du MINESUP a été signée le 3 juin 2026. Ce c"
Concours FASA Dschang 2026 : 230 places (Agronomie &#038; Foresterie),2026-06-23T07:31:16+01:00,2026-08-25,infospratiques,concours,,,,,,La Faculté d&rsquo;Agronomie et des Sciences Agricoles (FASA) de l&rsquo;Université de Dschang recrute 230 élèves en 1re année du cycle des Ingénieurs (filières Agronomie et Foresterie) au titre de 2026-2027 : 200 places au campus de Dschang et 30 à l&rsquo;antenne de Bafia. La décision du MINESUP a
"Concours ISABEE Bertoua 2026 : 250 places (Agriculture, Bois, Eau, Environnement)",2026-06-23T07:30:32+01:00,2026-09-11,infospratiques,concours,,,,,,"L&rsquo;Institut Supérieur d&rsquo;Agriculture, du Bois, de l&rsquo;Eau et de l&rsquo;Environnement (ISABEE) de l&rsquo;Université de Bertoua recrute 250 élèves en 1re année du cycle Ingénieur/Expert au titre de l&rsquo;année académique 2026-2027. La décision du MINESUP a été signée le 9 juin 2026 :"
"Concours IBAN Nkongsamba 2026 : 620 places (Beaux-Arts, Université de Douala)",2026-06-23T07:29:53+01:00,,infospratiques,concours,,,,,,"L&rsquo;Institut des Beaux-Arts de Nkongsamba (IBAN), rattaché à l&rsquo;Université de Douala, organise ses concours d&rsquo;entrée pour l&rsquo;année académique 2026-2027 à trois niveaux : 1re année (L1), 3e année (L3) et cycle supérieur (4e année). Les décisions du MINESUP ont été signées le 12 ju"
Concours ENSTP Architecture &#038; Urbanisme 2026 : 125 places (Bac),2026-06-23T07:29:06+01:00,2026-08-21,infospratiques,concours,,,,,,"Le Ministère des Travaux Publics et le Ministère de l&rsquo;Enseignement Supérieur ouvrent deux concours à l&rsquo;École Nationale Supérieure des Travaux Publics (ENSTP) de Yaoundé (partenariat Université de Padoue, Italie) pour 2026-2027 : le cycle d&rsquo;Architecte (90 places) et le cycle d&rsquo"
Concours ENSTP Ingénieurs (MEng) 2026 : 500 places (Bac),2026-06-23T07:28:05+01:00,2026-08-14,infospratiques,concours,,,,,,"Le Ministère des Travaux Publics et le Ministère de l&rsquo;Enseignement Supérieur ouvrent un concours direct pour le recrutement de 500 étudiants en 1re année du cycle d&rsquo;Ingénieur (Master of Engineering, MEng) à l&rsquo;École Nationale Supérieure des Travaux Publics (ENSTP) de Yaoundé, en par"
Concours ENSTP Techniciens Supérieurs 2026 : 290 places (Bac),2026-06-23T06:39:59+01:00,2026-07-10,infospratiques,concours,,,,,,"Le Ministère des Travaux Publics et le Ministère de l&rsquo;Enseignement Supérieur ouvrent un concours direct pour le recrutement de 290 élèves Techniciens Supérieurs (1re année) à l&rsquo;École Nationale Supérieure des Travaux Publics (ENSTP), annexe de Buéa, au titre de l&rsquo;année académique 20"
Concours Élève-Commissaire de Police Cameroun 2026 : 45 places (Licence),2026-06-23T05:53:56+01:00,2026-07-31,infospratiques,concours,,Centre,Yaoundé,,,"Au titre du recrutement de 2500 policiers en 2026, la Délégation générale à la Sûreté nationale (DGSN) ouvre un concours direct pour 45 élèves-commissaires de police. C&rsquo;est le concours le plus sélectif de la Police, accessible avec une Licence. L&rsquo;arrêté a été signé le 15 juin 2026 ; les "
Concours Élève-Officier de Police Cameroun 2026 : 98 places (BAC),2026-06-23T05:53:10+01:00,2026-07-31,infospratiques,concours,,Centre,Yaoundé,,,"Au titre du recrutement de 2500 policiers en 2026, la Délégation générale à la Sûreté nationale (DGSN) ouvre un concours direct pour 98 élèves-officiers de police. L&rsquo;arrêté a été signé le 15 juin 2026 ; les dossiers sont reçus jusqu&rsquo;au 31 juillet 2026 à 15h30 . Particularité de ce concou"
Concours Élève-Inspecteur de Police Cameroun 2026 : 395 places (BEPC),2026-06-23T05:52:23+01:00,2026-07-31,infospratiques,concours,,Centre,Yaoundé,,,"Dans le cadre du recrutement de 2500 fonctionnaires de police au titre de 2026, la Délégation générale à la Sûreté nationale (DGSN) ouvre un concours direct pour 395 élèves-inspecteurs de police. L&rsquo;arrêté a été signé le 15 juin 2026 ; les dossiers sont reçus jusqu&rsquo;au 31 juillet 2026 à 15"
Ouverture des Concours d'entrée a l'ENAM 2026/2027,2026-06-22T15:35:56.878000+01:00,2026-08-21,cameroondesks,concours,,,,,https://cameroondeskacademy.com/category/epreuves-concours/; https://drive.google.com/file/d/1rOyAFCcsuKEer1-Ko8xtjs_XGrM2vYIX/view?usp=sharing; https://drive.google.com/file/d/16mBnugJayLBxlJbDMaVLcbTWCR3meXPT/view?usp=sharing; https://drive.google.com/file/d/1GSY85JDx_hehVT_7jG3S060jEGqm-SV2/view?usp=sharing; https://drive.google.com/file/d/1Um5Qx_D1X-3ywBgBHlIyN8hDrXf2RBtm/view?usp=sharing; https://drive.google.com/file/d/1oc4wCSORJL9L8Sv1VDlYiIeqb0EkanwH/view?usp=sharing; https://drive.google.com/file/d/15z4xkoKAUWj5JGykV9UCxx6tw2eq5VXT/view?usp=sharing; https://drive.google.com/file/d/1XKGwkUDEjCkWDigWMq5jJaDNSO462pFa/view?usp=sharing; https://drive.google.com/file/d/1YdQcdGWv2uSdzyOvBG_RoDnmA8obFGlY/view?usp=sharing; https://drive.google.com/file/d/1Gxt3Gx1Zc6SpIxBgHzO__OBk7qXB8XQr/view?usp=sharing; https://drive.google.com/file/d/1ShvLkEkD0-QrdokHQ9i48SRsBTFnImSj/view?usp=sharing; https://drive.google.com/file/d/1-gvG5PVPOhmiNFT2ESpFbtt9XeaofCLL/view?usp=sharing; https://drive.google.com/file/d/1uYYK_l4sVqs4XkzDNF3wgeVWcjNUK-s_/view?usp=sharing; https://cameroondeskacademy.com/anciennes-epreuves-et-corriges-concours-enam/,"Concours ENAM 2026-2027&nbsp; Le Directeur Général de l'Ecole Nationale d'Administration et de Magistrature (ENAM) , informe le public que le Ministre de la Fonction Publique et de la Réforme Administrative a signé le jeudi 04 avril 2026 une série d'Arrêtés portant ouverture des différents concours "
Concours Police Cameroun 2026 : 2500 places à pourvoir (date limite 31 juillet),2026-06-21T07:31:06+01:00,2026-07-31,infospratiques,concours,,Centre,Yaoundé,,,Le Délégué général à la Sûreté nationale a lancé le recrutement de 2500 jeunes Camerounais dans la Police nationale au titre de l&rsquo;année 2026. Les arrêtés d&rsquo;ouverture des concours ont été signés le 15 juin 2026. Les candidats ont jusqu&rsquo;au 31 juillet 2026 à 15h30 pour déposer leur do
Êtes-vous éligible au concours de la Police camerounaise?,2026-06-18T13:18:22.633000+01:00,,cameroondesks,concours,,,,,,"Cameroon Desk · Pré-vérification SUIS-JE ÉLIGIBLE&nbsp;? Concours de la Police Camerounaise (DGSN). Choisissez le concours&nbsp;: la tranche d'âge et la plage de dates de naissance s'ajustent automatiquement, d'après l'arrêté d'ouverture de la session . Concours visé Votre date de naissance Vérifier"
Bourse de formation professionnelle au Québec 2026-2027 : tout savoir avant le lancement,2026-06-17T19:57:10.344000+01:00,,cameroondesks,bourse,,,,,,"Chaque année, le Québec ouvre ses portes aux étudiants internationaux souhaitant se former dans des métiers d'avenir grâce à un programme de bourses financé par le ministère de l'Éducation du Québec. Pour l'édition 2026-2027, les inscriptions débutent le mercredi 02 Septembre 2026 à midi (heure du Q"
100 Bourses Knight-Hennessy Stanford 2027 : Tout Frais Payés USA,2026-06-17T19:56:13.457000+01:00,,cameroondesks,bourse,,,,,https://knight-hennessy.stanford.edu/program-overview/funding; https://knight-hennessy.stanford.edu,".cd-card-block{border:1px solid #e5e7eb;border-radius:8px;background:#fff;margin:24px 0;overflow:hidden;font-family:-apple-system,Roboto,Arial,sans-serif;box-shadow:0 1px 2px rgba(0,0,0,0.04)} .cd-card-header{padding:14px 18px;font-weight:700;font-size:15px;color:#fff;background:#8C1515} .cd-card-he"
Bourses OIBT 2026 : jusqu'à 10 000 $ pour se former dans la foresterie tropicale et le bois,2026-06-17T19:54:38.017000+01:00,,cameroondesks,bourse,,,,,http://www.itto.int/feature20/; https://www.itto.int/fr/fellowship/?trk=feed_main-feed-card-text,"L'Organisation internationale des bois tropicaux (OIBT) a ouvert l'appel à candidatures pour son Programme de bourses 2026, financé par le Fonds Freezailah pour les bourses . Une opportunité concrète pour les professionnels, chercheurs et étudiants des pays membres — dont le Cameroun — souhaitant re"
Concours Police 2026 au Cameroun - Téléchargez les arrêtés pdf,2026-06-17T19:09:51.858000+01:00,,cameroondesks,concours,,,,,https://cameroondeskacademy.com/telechargez-les-epreuves-et-corriges-du-concours-de-la-police-camerounaise/; https://www.commentpostuler.com/2022/12/programme-dexamen-concours-police-2023.html; https://drive.google.com/file/d/1yQcZIGXEeLQp0_Yp4jiTVYXq5FKsBADw/view?usp=sharing; https://drive.google.com/file/d/1wh5K_qm62kKDFK02C6pb551IeiwNKnPE/view?usp=sharing; https://drive.google.com/file/d/1KRjrvkVEIHAx13W50fNTEuiNgZoL6zdQ/view?usp=sharing; https://drive.google.com/file/d/1Z7ORoLS9Cp4Q_vfHoePTNRs5-30Ed6W1/view?usp=sharing; https://drive.google.com/file/d/1GKNZPAigDbEJAuPCXaXRgaU3NK4kdplc/view?usp=sharing; https://drive.google.com/file/d/1fzgThdSNYuSa9c7l7FuVPh1we-XolQg2/view?usp=sharing; https://drive.google.com/file/d/1KM6f6c3akIxYktr-UMQ_cbTRF9Tn0qUH/view?usp=sharing; https://drive.google.com/file/d/1zeJ57x5RDGXa9L3fNdVpkJhSV4oGH_a5/view?usp=sharing; https://drive.google.com/file/d/1CCNOfzMAh8gYVPY9P_L9lMzyZzsCJK80/view?usp=sharing; https://drive.google.com/file/d/1oZbtSkkqBd62wh4mY0Q0GlCQTJmV_C0t/view?usp=sharing; https://drive.google.com/file/d/1UoLG1LYcNMHIKJ0_UWQwYzOhzSpWkUxf/view?usp=sharing; https://drive.google.com/file/d/15ITaWZKpl2xRI4DNanbVo5hDW4wXo4aH/view?usp=sharing; https://drive.google.com/file/d/1CP-PR-5KpCvgj2DfmcsEq1wZ8y77sTd6/view?usp=sharing; https://drive.google.com/file/d/1Crx2PIiQ9QOynkFBnKTkOhp5D1FzYMNI/view?usp=sharing; https://drive.google.com/file/d/13_J7ji0ZTokNou06ZmCjF2zvHQZJLVbM/view?usp=sharing; https://drive.google.com/file/d/1gSyoAwZNiRvajY_fLYDNZ54RE3RPH6EB/view?usp=sharing; https://drive.google.com/file/d/1iwmdMDzVXSuvpehIfLb1l751Q9MBgF0y/view?usp=sharing; https://drive.google.com/file/d/1imoO8RETX4iEzhMo3eoC1CvzsWUUYf5R/view?usp=sharing; https://drive.google.com/file/d/1_PwvEpgl9RKtflsTmrHw7j-aV0CHiZzp/view?usp=sharing; https://drive.google.com/file/d/1KEi6PkC7cDzXxGB2TtPac4Hvl2akfWGG/view?usp=sharing; https://drive.google.com/file/d/16FPZTlpU3o3q7VphruA_HAVvhhcePLP4/view?usp=sharing; https://drive.google.com/file/d/1I0SYZKf-LfeiMst-yGwieAzi61ZEh548/view?usp=sharing,"Concours Police Camerounaise &nbsp; 2025/2026 Anciennes Epreuves et Corrigés Concours Police Camerounaise Cliquez ICI pour consulter le Programme d'examen Concours police La Délégation générale à la sûreté nationale (DGSN) a rendu public, un communiqué du Délégué Martin Mbarga Nguele, qui annonce l’"
Bourse DAAD Helmut Schmidt 2026 Allemagne : Master Tout Financé,2026-06-17T16:14:13.689000+01:00,,cameroondesks,bourse,,,,,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026397; https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_helmut-schmidt-programme_checklist.pdf; https://www2.daad.de/medien/deutschland/stipendien/formulare/antragsformular.pdf; https://www.daad.de; https://www2.daad.de,".cd-card-block{border:1px solid #e5e7eb;border-radius:8px;background:#fff;margin:24px 0;overflow:hidden;font-family:-apple-system,Roboto,Arial,sans-serif;box-shadow:0 1px 2px rgba(0,0,0,0.04)} .cd-card-header{padding:14px 18px;font-weight:700;font-size:15px;color:#fff;background:#000000} .cd-card-he"
"Stages UNFPA 2026 : les Nations Unies recrutent des stagiaires, candidatures ouvertes en français",2026-06-17T16:02:09.251000+01:00,2026-12-31,cameroondesks,bourse,multiple (selon les besoins des bureaux),,,,https://www.unfpa.org/jobs/global-internship-roster-2026,"L'UNFPA, l'agence des Nations Unies pour la santé sexuelle et reproductive, a ouvert son Global Internship Roster 2026 : un vivier mondial de stagiaires dans lequel ses bureaux à travers le monde viennent recruter tout au long de l'année. L'opportunité est ouverte aux étudiants et jeunes diplômés du"
Concours de formation de 120 experts en Sécurité routière,2026-06-16T11:48:52.679000+01:00,,cameroondesks,concours,,Centre,Yaoundé,,https://drive.google.com/file/d/1CWjuHmgMHApr_sYrdwXPhQADtoWkoM9f/view?usp=sharing; http://www.concours.mintransports.cm,Le Ministère des Transports lance le concours de formation de 240 Experts en Sécurité routière en prévu le 1er Août 2026 au Centre unique de Yaoundé dans les filières suivantes: Délégués au Permis de conduire et à la Sécurité routière Inspecteurs du Permis de conduire et de la Sécurité routière Date
"Portant ouverture des concours (EGCIM, ENSAHV, IUT-FV, FAMV) 2026",2026-06-16T09:42:26.831000+01:00,,cameroondesks,concours,,,,,https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L1_Conception_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L1_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/EGCIM_L3_NDERE.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/ENSAHV_Agronome_L1_Dla_Yabassi.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/ENSAHV_Agronome_L2_Dla_Yabassi.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/ENSAHV_Veterinaire_L1_Dla_Yabassi.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/ENSAHV_Veterinaire_M1_Dla_Yabassi.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/IUT-FV_Dschang_Bandjoun.pdf; https://www.minesup.gov.cm/wp-content/uploads/2026/05/Veterinaire_L2_Buea.pdf; https://cutt.ly/1erkpXpm,"Télécharger les décisions portant ouvertures des concours à l’EGCIM de l’Université de Ngaoundére, l’ENSAHV de Yabassi, IUT-FV de Bandjoun, et FAMV de l’Université de Buea (adsbygoogle = window.adsbygoogle || []).push({}); EGCIM_L1_Conception_NDERE &nbsp; EGCIM_L1_NDERE (adsbygoogle = window.adsbygo"
Concours ISABEE Bertoua 2026,2026-06-15T14:33:19.372000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1LCsChwWQGYIO-ab-zJEOcAn_96ee0Aew/view?usp=drivesdk; https://drive.google.com/file/d/1aW0gnqvFmXf7jJZLEqYmff6RvChjhdSM/view?usp=drivesdk,"Portant ouverture du concours d'entrée à l'Institut Supérieur d'Agriculture, du Bois, de l'Eau et de l'Environnement (ISABEE) de l'Université de Bertoua pour l'année académique 2026/2027&nbsp; Nombre de places et répartition :&nbsp; Un total de 250 places est ouvert, dont 200 pour le campus de Bélab"
Concours Cameroun 2026 : confiez la constitution de votre dossier à MHD Corporation,2026-06-15T14:02:35.304000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1t8s8McfsYMAugJ1lYqlY24l_WR1OgqL2/view?usp=sharing; https://drive.google.com/file/d/14xUT4w6sEZJLMwM_dvIiiY0V_sWTrnpv/view?usp=sharing; https://drive.google.com/file/d/1otNaLmOgHwpue8JEHtO64OxQetCKTL0H/view?usp=sharing; https://drive.google.com/file/d/1mXmZB0qbD6jsPBI_aybfLzRiaovSIRqO/view?usp=sharing; https://drive.google.com/file/d/1nCeqBsx7DfXkq-8BQVb9t6Gv7Mw3-TAu/view?usp=sharing; https://drive.google.com/file/d/1nyxyAE7aoUh5uPtADHGFfWUN5xxvizNT/view?usp=sharing; https://drive.google.com/file/d/1LgqPjdgQNRvlTSGkzXixLUkCiX_iN32k/view?usp=sharing; https://drive.google.com/file/d/1uCXaM36r1ZASPghRqEpUSA7UBF0I5879/view?usp=sharing; https://drive.google.com/file/d/1NYQDQwueR00d9N5cCIjOnCindtYuP-pt/view?usp=sharing,"Chaque session de concours, des centaines de candidats sérieux sont recalés avant même la première épreuve. Pas par manque de niveau — mais à cause d'un dossier incomplet, mal certifié ou déposé hors délai . Une pièce manquante, une copie non légalisée, un timbre oublié, et des mois de préparation t"
Concours IBA de Douala 2026,2026-06-15T09:24:03.488000+01:00,,cameroondesks,concours,,,,,https://www.minesup.gov.cm/index.php/2026/06/12/decisions-portant-ouverture-des-concours-a-iban-de-luniversite-de-douala/; https://drive.google.com/file/d/16o3Zhbx1XrXoHpRVxToVQNyPlHKzJYMR/view?usp=sharing; https://drive.google.com/file/d/1Ou4FqObdf0fO-iUujOklNUQq9f0HrvPN/view?usp=sharing; https://drive.google.com/file/d/1SxDr48uFZY1WabN3jD5EyE3iI-oXA9TB/view?usp=sharing; https://cutt.ly/1erkpXpm,Décisions portant ouverture des concours à IBAN de l’Université de Douala Télécharger les décisions portant ouverture des concours à l’Institut des Beaux-Arts (IBAN) de l’Université de Douala à Nkongsamba. IBAN_L1_Douala_Nkongsamba IBAN_L3_Douala_Nkongsamba IBAN_L4_Douala_Nkongsamba To launch a comp
Concours IBAI de Garoua 2026,2026-06-15T09:13:44.376000+01:00,,cameroondesks,concours,,Nord,Garoua,,https://drive.google.com/file/d/1nxoik1WDu34twCWc0fb23yxuY6gR0z_1/view?usp=sharing; https://cutt.ly/1erkpXpm,"&nbsp;Portant ouverture du concours d'entrée en première année à l'Institut des Beaux-Arts et de l'Innovation (IBAI) de l'Université de Garoua et fixant le nombre de places offertes, au titres de l'année académiques 2026/2027 Announcing the opening of the entrance competition for the first year at t"
Concours Police Cameroun 2025 : Calendrier de mise en route des Éleves-Inspecteurs et Gardiens de la Paix,2026-06-11T14:14:53.411000+01:00,,cameroondesks,concours,,Littoral,Douala,,https://drive.google.com/file/d/1Avkm2Jw9TSgbAPVW2UVmMPW3g3MZUpfu/view?usp=sharing,"Le Délégué Général à la Sûreté Nationale convie les candidats définitivement admis aux concours 2024 (Spécial et Directs) pour le recrutement des Élèves-Inspecteurs de Police et des Élèves-Gardiens de la Paix à se présenter à la base du GMI N°2 de Bonanjo, à Douala A lire aussi : Concours de la Poli"
Concours MINSANTE 2026 (IDE-TMS-AS-SAGES-FEMMES),2026-06-09T12:02:33.745000+01:00,,cameroondesks,concours,,,,,https://drive.google.com/file/d/1Cw_AWrKcyilSV64ekswZaSUloeNRzjIx/view?usp=sharing; https://cameroondeskacademy.com/anciennes-epreuves-et-corriges-du-concours-des-ide-cameroun/,"Concours MINSANTE 2026 : Inscriptions ouvertes pour la formation aux métiers médico-sanitaires Le Ministère de la Santé Publique , sous la direction du Dr MANAOUDA Malachie , informe le public que le concours d’entrée dans les établissements de formation des professions médico-sanitaires , publics e"
"Concours CIMAP Kribi 2026 : attention, cet avis de concours est un FAUX",2026-06-09T05:30:34+01:00,,infospratiques,concours,,,,,,"⚠️ ALERTE ARNAQUE : L&rsquo;avis de concours « CIMAP Kribi 2026 » qui circule actuellement sur WhatsApp et Facebook est un FAUX . Le Port Autonome de Kribi s&rsquo;en est officiellement démarqué le 3 juin 2026. Ne payez aucun frais et ne déposez aucun dossier. Depuis quelques jours, un avis de conco"
